manhole_id,upstream_pipe_count,upstream_pipe_total_length,upstream_pipe_weighted_avg_diameter,upstream_pipe_weighted_avg_gradient,upstream_storm_impervious_area,upstream_sanitary_population
MH411165,3,232.04413880716757,215.39739127440103,0.029778817235036125,2.0856377673413506,236.40000000000023
MH411166,0,0.0,0.0,0.0,0.18285732041945607,18.200000000000003
MH411168,12,856.0334213616208,255.36894294711777,0.04571083210484842,3.506646832044411,157.60000000000005
MH411169,1,123.15333381192107,200.0,0.05878850190979704,1.6766901074509477,110.59999999999998
MH411170,3,235.58650252811924,217.8498288101506,0.03531611493322683,1.8885208705022343,148.20000000000005
MH411654,0,0.0,0.0,0.0,0.48108481703639316,21.200000000000003
MH411662,1,107.59272756188899,250.0,0.008829593054544957,0.28783489149923136,62.49999999999999
MH412047,21,1558.9131345890914,255.77410747353102,0.02078563537700964,0.024980087963869812,848.0999999999985
MH412767,13,1033.7255680234427,256.1492352061053,0.022591102244527643,0.024980087963869812,320.30000000000007
MH412768,92,5980.2508771555,327.5894437013779,0.024817687927934227,29.28238826196091,3986.0000000000623
MH413144,9,630.7234711414497,199.99999999999997,0.034917045278406965,0.024980087963869812,246.3000000000002
MH413145,55,3442.0667425254082,308.5825696042534,0.025265634429910557,16.036985446058253,928.9999999999962
MH413146,16,984.5238675586689,304.1949214333798,0.03542829295392523,6.066249296382871,328.4000000000001
MH413148,10,730.5832063161353,206.8342479207957,0.030568728937270643,0.024980087963869812,271.30000000000024
MH413985,110,6967.862622810326,359.21931011410993,0.023045230466273953,34.118828038883336,4086.100000000065
MH413986,111,6978.020677054042,360.87996901214814,0.023011683030407917,34.118828038883336,4086.100000000065
MH413987,30,2326.6244482611855,259.9124719368321,0.017386991712492642,1.5646259621308058,1145.4199999999994
MH413988,5,116.66493069619031,300.00000000000006,0.013714489782423164,1.374161745611376,0.9
MH413989,3,95.56142535315475,300.0,0.01339452603673146,0.24535060367344813,0.9
MH413990,143,9318.709122882346,336.0073176523821,0.02157691557366777,35.217856040992224,5416.620000000013
MH413991,5,494.04213926,246.4124658684889,0.013804490463536807,1.539645874166936,346.1200000000001
MH415126,4,328.1488982022282,253.58749515924166,0.030992028483766306,2.2301981448805717,139.00000000000003
MH415869,80,5245.6101503175805,319.2523990842372,0.025569189504462086,25.952166013101937,1872.1999999999985
MH415870,12,932.9113534505332,243.30573570342563,0.02461434295452339,0.024980087963869812,320.30000000000007
MH417659,0,0.0,0.0,0.0,0.3993241331796722,38.6
